res_id,wave,east,hate_violence_means,hate_pol_message,hate_prevent_settlement,hate_polcondemn,hate_justified,MateComp.cont,JobComp.cont,LifeSatis.cont,pop_15_44_muni_gendergap_2015,age,singdivsep,age_group,gender,state,citizenship,marital,religion,eduyrs,occupation,income,household_size,self_econ,distance_ref,settle_ref,lrscale,afd,muslim_ind,afd_ind,contact_ind,refugee_ind,list,treatment_list,outcome_list,ref_integrating,ref_citizenship,ref_reduce,ref_moredone,ref_cultgiveup,ref_economy,ref_crime,ref_terror,ref_loc_services,ref_loc_economy,ref_loc_crime,ref_loc_culture,ref_loc_islam,ref_loc_schools,ref_loc_housing,ref_loc_wayoflife,women_role
497462542,1,0,1,NA,NA,1,1,NA,NA,NA,NA,23,1,18-29,Female,Baden-W<fc>rttemberg,1,"Single, without partner",Muslim,NA,Employee in high position,"2,000 to below 2,500 <80>",3,10 ( TOP ),Less than 3 kilometer,50 <96> 249,5,0,0,0,0,0.5,NA,Scenario 1,2,3,3,2,3,2,1,2,3,1,1,2,1,1,3,1,1,1
497665045,1,0,3,NA,NA,2,3,NA,NA,NA,NA,35,1,30-39,Female,Hessen,1,Divorced / separated,"No, I don't feel close to any religion",NA,Retired,"500 to below 1,000 <80>",3,5,3-5 kilometers,250 <96> 499,1,80,0.875,1,0.5,1,NA,Scenario 2,4,4,3,4,4,3,4,4,4,4,3,4,3,2,3,4,4,2
403617748,1,0,1,NA,NA,2,1,NA,NA,NA,NA,41,0,40-49,Female,Nordrhein-Westfalen,1,Married,Roman Catholic,NA,Civil servant,"4,000 to below 4,500 <80>",4,7,6-10 kilometers,50 <96> 249,6,4,0,0,0,0.625,NA,Scenario 2,1,3,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2,2
497710646,1,0,1,NA,NA,1,1,NA,NA,NA,NA,20,0,18-29,Male,Schleswig-Holstein,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",2,7,3-5 kilometers,500 <96> 999,3,0,0,0.3333333333333333,0,0.125,NA,Scenario 2,1,2,1,4,1,2,2,1,1,1,1,1,1,3,1,2,3,2
497715548,1,0,1,NA,NA,1,1,NA,NA,NA,NA,29,0,18-29,Female,Hessen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Unskilled worker,"3,000 to below 3,500 <80>",3,9,3-5 kilometers,1000 and more,3,2,0.5,0.3333333333333333,0.3333333333333333,0.25,NA,Scenario 2,1,2,3,2,2,1,1,3,1,2,1,3,2,3,3,3,4,2
403720740,1,1,2,NA,NA,1,2,NA,NA,NA,NA,75,0,60 and older,Female,Brandenburg,1,Widowed,Protestant,NA,Retired,"2,000 to below 2,500 <80>",2,5,21-50 kilometers,1 <96> 49,4,0,0.625,0.3333333333333333,0,0.625,NA,Scenario 2,3,3,2,3,3,2,2,3,3,3,3,2,3,2,3,3,2,3
497840142,1,0,1,NA,NA,2,2,NA,NA,NA,NA,24,0,18-29,Female,Hamburg,1,"With partner, living together",Protestant Free Church,NA,Senior civil servant <96> highest level,"3,500 to below 4,000 <80>",2,8,3-5 kilometers,50 <96> 249,5,0,0.25,0.3333333333333333,0,0.625,NA,Scenario 1,1,3,3,3,2,3,3,2,2,3,3,2,3,2,3,3,2,1
467749942,1,0,1,NA,NA,1,1,NA,NA,NA,NA,22,1,18-29,Female,Niedersachsen,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Employee in low / medium position,"500 to below 1,000 <80>",1,5,6-10 kilometers,1 <96> 49,0,0,0,0,0.3333333333333333,0,NA,Scenario 2,1,2,2,1,1,2,1,1,1,3,3,1,4,1,1,1,1,1
407209147,1,0,3,NA,NA,1,2,NA,NA,NA,NA,27,1,18-29,Male,Saarland,1,"Single, without partner",Roman Catholic,NA,Homemaker,"2,000 to below 2,500 <80>",2,4,3-5 kilometers,500 <96> 999,5,0,0.875,0.6666666666666666,0.5,0.75,NA,Scenario 2,3,2,4,4,4,4,2,4,4,4,3,4,3,4,4,4,4,2
407315847,1,0,4,NA,NA,4,4,NA,NA,NA,NA,29,0,18-29,Female,Hessen,1,"With partner, living together",No answer,NA,Unskilled worker,"2,500 to below 3,000 <80>",3,6,Less than 3 kilometer,50 <96> 249,8,0,0.875,0.6666666666666666,0.8333333333333334,1,NA,Scenario 2,2,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,2
407359940,1,0,2,NA,NA,1,3,NA,NA,NA,NA,30,0,30-39,Male,Rheinland-Pfalz,1,Married,Roman Catholic,NA,Skilled worker,"2,500 to below 3,000 <80>",3,4,11-20 kilometers,1 <96> 49,3,4,1,0.6666666666666666,0,0.75,NA,Scenario 2,3,3,2,4,4,3,2,3,3,4,2,4,3,2,3,3,2,3
407365344,1,0,1,NA,NA,1,1,NA,NA,NA,NA,19,0,18-29,Male,Hessen,1,"With partner, not living together",Muslim,NA,"In schooling / vocational training, student","3,000 to below 3,500 <80>",4,7,6-10 kilometers,50 <96> 249,3,0,0,0,0,0,NA,Scenario 1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3
407426646,1,1,4,NA,NA,1,2,NA,NA,NA,NA,47,0,40-49,Female,Brandenburg,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,3,5,6-10 kilometers,1000 and more,6,80,1,0.6666666666666666,0.5,1,NA,Scenario 1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2
407453749,1,0,2,NA,NA,3,1,NA,NA,NA,NA,21,0,18-29,Female,Nordrhein-Westfalen,1,"With partner, living together",Protestant,NA,Employee in low / medium position,"4,000 to below 4,500 <80>",2,8,Don't know,1000 and more,5,10,0.75,0.3333333333333333,0,0.875,NA,Scenario 1,2,3,2,4,4,4,4,3,4,3,4,3,4,4,4,3,3,2
407510340,1,0,1,NA,NA,2,1,NA,NA,NA,NA,26,0,18-29,Female,Hamburg,1,"With partner, not living together","No, I don't feel close to any religion",NA,Employee in low / medium position,"3,000 to below 3,500 <80>",2,7,Less than 3 kilometer,250 <96> 499,3,0,0.125,0,0.16666666666666666,0.125,NA,Scenario 2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2
407565248,1,0,3,NA,NA,3,3,NA,NA,NA,NA,28,1,18-29,Female,Saarland,1,"Single, without partner","Christian, but not close to a particular religious community",NA,"In schooling / vocational training, student","1,000 to below 1,500 <80>",2,4,Don't know,50 <96> 249,7,32,1,1,0.6666666666666666,0.75,NA,Scenario 2,2,2,3,4,4,3,2,4,4,3,2,4,3,4,4,4,4,3
407649244,1,0,2,NA,NA,2,2,NA,NA,NA,NA,44,0,40-49,Male,Baden-W<fc>rttemberg,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,4,6,Don't know,50 <96> 249,5,0,1,0.3333333333333333,0,0.875,NA,Scenario 1,2,3,2,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3
407671043,1,0,1,NA,NA,2,1,NA,NA,NA,NA,36,0,30-39,Female,Bayern,1,Married,Roman Catholic,NA,Employee in high position,"4,500 to below 5,000 <80>",4,7,6-10 kilometers,1000 and more,6,33,0.625,0.6666666666666666,0.5,0.875,NA,Scenario 1,1,4,4,4,2,4,3,4,4,4,1,4,1,4,4,4,4,1
407861340,1,0,4,NA,NA,1,4,NA,NA,NA,NA,24,0,18-29,Male,Niedersachsen,1,"With partner, not living together","No, I don't feel close to any religion",NA,Other,"500 to below 1,000 <80>",2,9,21-50 kilometers,There are no refugees in my town,5,0,0.5,0,0.8333333333333334,0.625,NA,Scenario 2,2,3,2,3,1,2,4,3,4,4,4,4,4,4,4,4,4,2
407935248,1,0,1,NA,NA,2,2,NA,NA,NA,NA,26,1,18-29,Female,Baden-W<fc>rttemberg,1,"Single, without partner","No, I don't feel close to any religion",NA,Unskilled worker,"3,500 to below 4,000 <80>",4,5,3-5 kilometers,50 <96> 249,5,0,0.75,0,0.6666666666666666,0.75,NA,Scenario 2,2,4,2,3,4,2,3,3,3,3,3,3,3,3,4,4,3,2
407959242,1,0,1,NA,NA,1,2,NA,NA,NA,NA,19,1,18-29,Female,Hessen,1,"Single, without partner",Muslim,NA,"In schooling / vocational training, student","3,500 to below 4,000 <80>",4,6,3-5 kilometers,50 <96> 249,2,0,0,0,0.3333333333333333,0.25,NA,Scenario 2,1,2,2,1,2,3,1,2,3,2,1,2,1,3,3,2,3,2
411314043,1,0,3,NA,NA,3,3,NA,NA,NA,NA,50,0,50-59,Female,Saarland,1,Married,"Christian, but not close to a particular religious community",NA,Self-employed / freelancer,No answer,2,6,11-20 kilometers,50 <96> 249,8,50,0.875,1,0.5,1,NA,Scenario 1,2,3,3,4,3,4,3,3,4,3,3,3,3,3,4,3,2,3
411364140,1,0,3,NA,NA,1,1,NA,NA,NA,NA,62,1,60 and older,Female,Schleswig-Holstein,1,Divorced / separated,Protestant,NA,Retired,"1,000 to below 1,500 <80>",1,7,Less than 3 kilometer,500 <96> 999,3,1,0.75,0,0.5,0.625,NA,Scenario 2,2,3,2,2,3,3,3,2,3,4,3,2,1,3,4,4,3,3
411764849,1,0,1,NA,NA,1,1,NA,NA,NA,NA,53,1,50-59,Female,Schleswig-Holstein,1,"Single, without partner",Protestant,NA,Civil servant,"2,000 to below 2,500 <80>",1,3,6-10 kilometers,50 <96> 249,3,0,0.625,0,0.3333333333333333,0.625,NA,Scenario 1,3,3,2,3,4,2,2,3,4,3,3,3,2,4,4,4,3,2
411914443,1,0,1,NA,NA,1,1,NA,NA,NA,NA,19,1,18-29,Male,Rheinland-Pfalz,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","4,500 to below 5,000 <80>",4,3,11-20 kilometers,250 <96> 499,3,0,0,0,0.16666666666666666,0,NA,Scenario 2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,3,1,1,1
413110446,1,1,3,NA,NA,3,3,NA,NA,NA,NA,69,0,60 and older,Female,Sachsen-Anhalt,1,Married,Protestant,NA,Retired,"1,500 to below 2,000 <80>",2,5,6-10 kilometers,1000 and more,5,90,1,1,0.3333333333333333,1,NA,Scenario 2,3,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,2
413318342,1,0,1,NA,NA,1,3,NA,NA,NA,NA,72,0,60 and older,Female,Niedersachsen,1,Widowed,No answer,NA,Retired,"500 to below 1,000 <80>",1,7,21-50 kilometers,250 <96> 499,4,0,0.625,0,0.8333333333333334,0.75,NA,Scenario 2,1,3,2,4,4,4,2,4,4,4,2,3,3,2,4,4,4,4
447297541,1,0,1,NA,NA,1,2,NA,NA,NA,NA,48,0,40-49,Male,Schleswig-Holstein,1,Married,Protestant,NA,Skilled worker,"2,500 to below 3,000 <80>",3,1,6-10 kilometers,1 <96> 49,4,3,0.875,0,0.3333333333333333,1,NA,Scenario 2,0,3,3,4,4,4,3,4,4,3,3,2,3,2,2,3,2,3
414464042,1,0,1,NA,NA,2,1,NA,NA,NA,NA,52,0,50-59,Female,Berlin,1,Married,"No, I don't feel close to any religion",NA,Employee in low / medium position,"2,500 to below 3,000 <80>",2,6,Less than 3 kilometer,1000 and more,4,31,1,1,0.3333333333333333,0.875,NA,Scenario 1,2,3,3,3,3,1,4,3,3,2,3,3,2,4,2,4,1,2
481034642,1,0,1,NA,NA,1,1,NA,NA,NA,NA,47,0,40-49,Male,Hessen,1,Married,Protestant,NA,Employee in high position,"2,000 to below 2,500 <80>",2,3,More than 50 kilometer,1 <96> 49,0,0,0.375,0.3333333333333333,0,0.125,NA,Scenario 1,0,1,1,1,2,4,1,2,2,2,1,1,2,1,3,3,3,4
417425347,1,0,1,NA,NA,2,1,NA,NA,NA,NA,35,1,30-39,Female,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",NA,Civil servant,"2,000 to below 2,500 <80>",1,8,3-5 kilometers,500 <96> 999,7,5,0.5,0.6666666666666666,0.16666666666666666,0.375,NA,Scenario 2,2,2,3,3,2,1,2,2,3,2,2,3,2,3,4,2,2,1
421634048,1,0,3,NA,NA,3,3,NA,NA,NA,NA,50,0,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Homemaker,No answer,3,6,Less than 3 kilometer,50 <96> 249,5,0,0.625,1,0.16666666666666666,0.875,NA,Scenario 1,1,2,3,4,4,3,4,4,4,3,4,3,4,3,3,3,3,1
421764041,1,0,1,NA,NA,1,1,NA,NA,NA,NA,57,0,50-59,Male,Nordrhein-Westfalen,1,"With partner, not living together",Protestant,NA,Skilled worker,"1,000 to below 1,500 <80>",1,6,Less than 3 kilometer,50 <96> 249,4,0,0.625,0.3333333333333333,0.16666666666666666,0.75,NA,Scenario 2,2,3,2,4,4,4,2,4,3,3,3,4,3,1,4,4,3,1
487185340,1,1,1,NA,NA,1,1,NA,NA,NA,NA,26,0,18-29,Female,Sachsen,1,"With partner, living together",Protestant,NA,Skilled worker,"1,500 to below 2,000 <80>",2,1,3-5 kilometers,500 <96> 999,1,0,0.25,0.6666666666666666,0.6666666666666666,0.375,NA,Scenario 1,2,2,2,3,2,3,2,2,3,3,3,2,2,2,4,4,4,2
424314546,1,1,1,NA,NA,2,2,NA,NA,NA,NA,40,0,40-49,Male,Mecklenburg-Vorpommern,1,Married,Protestant,NA,Employee in low / medium position,"2,500 to below 3,000 <80>",3,6,6-10 kilometers,1 <96> 49,4,0,0.625,0,0.16666666666666666,0.625,NA,Scenario 1,1,2,2,3,3,3,2,3,4,4,2,3,2,4,4,3,4,2
457372949,1,0,1,NA,NA,1,1,NA,NA,NA,NA,57,0,50-59,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Retired,"1,000 to below 1,500 <80>",3,8,3-5 kilometers,500 <96> 999,2,2,0,0,0.8333333333333334,0,NA,Scenario 1,2,2,1,1,1,2,2,1,1,3,2,1,1,1,2,4,4,1
424837447,1,0,1,NA,NA,2,1,NA,NA,NA,NA,25,0,18-29,Female,Hessen,1,"With partner, living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,8,6-10 kilometers,50 <96> 249,2,0,0.125,0,0.3333333333333333,0.125,NA,Scenario 2,2,2,2,2,1,2,2,2,3,2,2,2,1,3,4,2,1,1
424909443,1,1,1,NA,NA,1,1,NA,NA,NA,NA,55,0,50-59,Male,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"2,500 to below 3,000 <80>",2,4,Less than 3 kilometer,1 <96> 49,4,0,0.875,0,0,0.75,NA,Scenario 2,3,3,3,2,2,3,3,3,3,2,3,2,3,2,3,2,2,1
427015941,1,0,1,NA,NA,1,1,NA,NA,NA,NA,25,0,18-29,Female,Rheinland-Pfalz,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,6,6-10 kilometers,250 <96> 499,3,0,0.125,0,0.16666666666666666,0.5,NA,Scenario 2,2,3,3,2,3,2,3,2,2,1,3,1,3,2,1,1,1,2
487739849,1,0,1,NA,NA,1,1,NA,NA,NA,NA,35,0,30-39,Female,Nordrhein-Westfalen,1,Married,Protestant,NA,Parental leave,No answer,3,5,Less than 3 kilometer,1 <96> 49,5,0,0.25,0,0.6666666666666666,0.625,NA,Scenario 2,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,1
467835840,1,1,1,NA,NA,1,1,NA,NA,NA,NA,26,0,18-29,Female,Sachsen-Anhalt,1,"With partner, living together","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","2,000 to below 2,500 <80>",2,4,3-5 kilometers,250 <96> 499,3,0,0.125,0,0.16666666666666666,0,NA,Scenario 2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,3,1,2,1
437668742,1,0,3,NA,NA,3,3,NA,NA,NA,NA,60,0,60 and older,Female,Baden-W<fc>rttemberg,1,Widowed,"No, I don't feel close to any religion",NA,Retired,"2,000 to below 2,500 <80>",1,8,Less than 3 kilometer,250 <96> 499,5,0,1,0.6666666666666666,0.8333333333333334,0.875,NA,Scenario 1,2,4,2,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4
467919242,1,0,3,NA,NA,4,2,NA,NA,NA,NA,40,0,40-49,Female,Niedersachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"2,000 to below 2,500 <80>",6,4,Less than 3 kilometer,1000 and more,5,1,0.875,0.6666666666666666,0.6666666666666666,0.75,NA,Scenario 1,1,3,2,3,4,2,4,4,3,2,3,2,3,3,3,2,2,1
437725941,1,0,4,NA,NA,1,4,NA,NA,NA,NA,30,0,30-39,Female,Baden-W<fc>rttemberg,1,"With partner, not living together",Roman Catholic,NA,Unskilled worker,"1,500 to below 2,000 <80>",2,9,Don't know,250 <96> 499,3,9,0.75,0.6666666666666666,0.5,0.75,NA,Scenario 2,4,1,4,4,4,1,4,4,4,3,2,2,2,2,3,3,3,2
471014348,1,0,1,NA,NA,1,1,NA,NA,NA,NA,59,1,50-59,Female,Nordrhein-Westfalen,0,Divorced / separated,Roman Catholic,NA,Retired,"1,000 to below 1,500 <80>",2,5,Less than 3 kilometer,1000 and more,2,0,0.5,0,0.5,0.625,NA,Scenario 1,3,2,2,3,3,1,3,3,4,3,4,3,2,2,4,3,2,4
471244242,1,1,1,NA,NA,3,1,NA,NA,NA,NA,27,0,18-29,Female,Sachsen,1,"With partner, not living together",Protestant,NA,"In schooling / vocational training, student","500 to below 1,000 <80>",1,5,Less than 3 kilometer,1000 and more,5,39,0.25,0.3333333333333333,0.3333333333333333,0.625,NA,Scenario 2,2,3,3,3,3,2,4,2,2,3,4,2,3,3,3,3,3,2
437834742,1,1,4,NA,NA,2,4,NA,NA,NA,NA,55,0,50-59,Female,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Skilled worker,"1,500 to below 2,000 <80>",2,2,Don't know,1 <96> 49,10,49,0.625,1,0.16666666666666666,1,NA,Scenario 1,2,3,4,4,4,4,3,3,4,4,3,3,3,4,4,3,3,3
437863247,1,0,1,NA,NA,1,1,NA,NA,NA,NA,27,0,18-29,Female,Baden-W<fc>rttemberg,1,Married,Protestant,NA,Employee in low / medium position,"5,000 or more <80>",2,8,11-20 kilometers,50 <96> 249,4,0,0.25,0,0.3333333333333333,0.5,NA,Scenario 1,3,3,1,1,1,3,4,3,1,2,3,2,2,2,2,2,2,2
491474648,1,0,2,NA,NA,1,2,NA,NA,NA,NA,58,0,50-59,Male,Schleswig-Holstein,1,Married,Roman Catholic,NA,Retired,"1,500 to below 2,000 <80>",3,3,3-5 kilometers,There are no refugees in my town,8,0,0.125,0,0.3333333333333333,0.125,NA,Scenario 2,1,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2
437995342,1,1,1,NA,NA,1,1,NA,NA,NA,NA,22,1,18-29,Male,Sachsen-Anhalt,1,"Single, without partner","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","1,500 to below 2,000 <80>",6,6,Less than 3 kilometer,250 <96> 499,2,0,0.125,0,0.3333333333333333,0,NA,Scenario 1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
441114544,1,0,3,NA,NA,1,3,NA,NA,NA,NA,69,0,60 and older,Male,Bayern,1,"With partner, not living together",Protestant,NA,Retired,"2,000 to below 2,500 <80>",1,7,6-10 kilometers,There are no refugees in my town,7,1,0.75,0.3333333333333333,0.3333333333333333,0.375,NA,Scenario 1,2,2,2,2,1,3,2,3,3,3,2,2,2,2,3,2,2,2
441144949,1,0,4,NA,NA,2,2,NA,NA,NA,NA,22,0,18-29,Female,Hamburg,1,"With partner, living together","No, I don't feel close to any religion",NA,"In schooling / vocational training, student","500 to below 1,000 <80>",3,9,6-10 kilometers,50 <96> 249,3,0,0.75,0.6666666666666666,0.5,0.5,NA,Scenario 2,1,3,3,2,2,2,3,2,3,2,3,3,3,2,2,2,2,2
441274942,1,1,2,NA,NA,1,1,NA,NA,NA,NA,64,0,60 and older,Female,Sachsen,1,Married,"No, I don't feel close to any religion",NA,Retired,"1,000 to below 1,500 <80>",2,0 ( BOTTOM ),Less than 3 kilometer,500 <96> 999,3,0,0.625,0.3333333333333333,0.3333333333333333,0.875,NA,Scenario 2,2,4,4,4,4,1,4,3,4,4,2,3,4,4,4,4,2,2
441574944,1,0,2,NA,NA,2,2,NA,NA,NA,NA,75,0,60 and older,Male,Bayern,1,Married,Roman Catholic,NA,Retired,"5,000 or more <80>",2,6,3-5 kilometers,500 <96> 999,5,0,0.625,0.6666666666666666,0.16666666666666666,0.875,NA,Scenario 2,1,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3,2
441614841,1,0,3,NA,NA,3,3,NA,NA,NA,NA,29,0,18-29,Male,Rheinland-Pfalz,1,Married,Roman Catholic,NA,Employee in low / medium position,"3,500 to below 4,000 <80>",2,8,11-20 kilometers,1 <96> 49,7,21,0.875,1,0.16666666666666666,0.875,NA,Scenario 2,1,3,2,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3
441644747,1,0,2,NA,NA,3,3,NA,NA,NA,NA,54,1,50-59,Female,Baden-W<fc>rttemberg,1,Divorced / separated,"No, I don't feel close to any religion",NA,Employee in low / medium position,"1,500 to below 2,000 <80>",1,4,Less than 3 kilometer,1 <96> 49,5,0,0.875,0.6666666666666666,0.5,1,NA,Scenario 2,1,4,3,4,4,3,4,3,4,4,2,3,3,4,4,4,4,3
441714644,1,0,1,NA,NA,1,1,NA,NA,NA,NA,59,0,50-59,Male,Nordrhein-Westfalen,1,Widowed,"Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",NA,Homemaker,"500 to below 1,000 <80>",1,1,3-5 kilometers,250 <96> 499,1,2,0.625,0.6666666666666666,0.3333333333333333,0.75,NA,Scenario 2,2,3,2,4,3,2,4,3,3,4,3,3,3,3,3,3,3,3
441834240,1,0,1,NA,NA,1,1,NA,NA,NA,NA,18,1,18-29,Female,Nordrhein-Westfalen,1,"Single, without partner","Christian, but not close to a particular religious community",NA,Unskilled worker,"500 to below 1,000 <80>",2,5,Less than 3 kilometer,1 <96> 49,5,0,0.5,0,0,0.5,NA,Scenario 1,2,2,2,3,3,2,2,3,3,2,2,2,1,2,3,2,3,2
473689143,1,0,3,NA,NA,3,2,NA,NA,NA,NA,40,0,40-49,Male,Baden-W<fc>rttemberg,1,Married,Roman Catholic,NA,Self-employed / freelancer,"1,500 to below 2,000 <80>",5,4,11-20 kilometers,50 <96> 249,6,86,0.625,1,0.3333333333333333,1,NA,Scenario 1,1,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4,2
473731542,1,1,2,NA,NA,2,2,NA,NA,NA,NA,31,0,30-39,Female,Sachsen-Anhalt,1,"With partner, living together","No, I don't feel close to any religion",NA,Senior civil servant <96> highest level,"5,000 or more <80>",2,7,6-10 kilometers,250 <96> 499,5,21,0.5,1,0.5,0.875,NA,Scenario 1,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2
473787846,1,0,1,NA,NA,2,1,NA,NA,NA,NA,46,1,40-49,Male,Nordrhein-Westfalen,1,"Single, without partner","No, I don't feel close to any religion",NA,Employee in low / medium position,No answer,1,7,Don't know,1 <96> 49,4,0,0.375,0,0.3333333333333333,0,NA,Scenario 2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
